Date,Overall Rating,Textual Review,matched_conditions,similarity_scores
7/27/2025,4.3,"I’ve had depression since I was 12. I’m 25 now and very little treatment has helped me get to a typical lifestyle. I’ve been on so many medications I can’t remember them all. Until this medication, I really thought I was never going to feel awake. I was going to be so exhausted for the rest of my life I won’t be able to function similarly to how I did a few weeks ago. I take this medication at lunch time with food. If you don’t take it with a meal GOOD LUCK. I almost puked but I learned my lesso... n lol. I’m trying to get over the insomnia, nausea, and lack of appetite. My other depression has made me gain weight so I’m not exactly opposed to getting back to eating normal portions. If you feel hopeless, please tell your doctor. I thought my words fell on deaf ears but this medication has changed my adult life. I have a night time routine now. I find time for myself to do the things I want. I listen to happy music and dance freely. I love myself for who I am finally.   Read More Read Less  Report this post","['Treatment-Refractory Depression', 'Postpartum Depression', 'Depression']","[0.13445427531191978, 0.10312727735469422, 0.10312727735469422]"
7/27/2025,4.3,"I’ve had depression since I was 12. I’m 25 now and very little treatment has helped me get to a typical lifestyle. I’ve been on so many medications I can’t remember them all. Until this medication, I really thought I was never going to feel awake. I was going to be so exhausted for the rest of my life I won’t be able to function similarly to how I did a few weeks ago. I take this medication at lunch time with food. If you don’t take it with a meal GOOD LUCK. I almost puked but I learned my lesso... n lol. I’m trying to get over the insomnia, nausea, and lack of appetite. My other depression has made me gain weight so I’m not exactly opposed to getting back to eating normal portions. If you feel hopeless, please tell your doctor. I thought my words fell on deaf ears but this medication has changed my adult life. I have a night time routine now. I find time for myself to do the things I want. I listen to happy music and dance freely. I love myself for who I am finally.   Read More Read Less  Report this post","['Treatment-Refractory Depression', 'Postpartum Depression', 'Depression']","[0.13445427531191978, 0.10312727735469422, 0.10312727735469422]"
6/19/2025,1.0,"Light headed, weakness, feeling faint, difficulty regulating body temp. Reaction was almost immediately, I used for 2 days (2 tabs).1Report this post",['Body Weight Change'],[0.11345775429323902]
6/19/2025,1.0,"Light headed, weakness, feeling faint, difficulty regulating body temp. Reaction was almost immediately, I used for 2 days (2 tabs).1Report this post",['Body Weight Change'],[0.11345775429323902]
5/16/2025,2.7,"While easy to use and felt it helped my depression and anxiety, I gained weight I COULD NOT lose no matter what I did (which I lost as soon as I came off this medication), my Lipids and Cholesterol lab levels got too high, and the worst was coming off of this, after 10 years at 10mg/day. I NEVER dreamed I'd go through withdrawal (mental and physical) like that. 1st time ever, hopefully last. Do it very slowly, will take about a year. Will never take again.1Report this post",[],[]
5/16/2025,2.7,"While easy to use and felt it helped my depression and anxiety, I gained weight I COULD NOT lose no matter what I did (which I lost as soon as I came off this medication), my Lipids and Cholesterol lab levels got too high, and the worst was coming off of this, after 10 years at 10mg/day. I NEVER dreamed I'd go through withdrawal (mental and physical) like that. 1st time ever, hopefully last. Do it very slowly, will take about a year. Will never take again.1Report this post",[],[]
1/8/2025,2.3,"Took it one night. Next day low self esteem, extreme lethargy and increased feelings of anger.1Report this post",[],[]
1/8/2025,2.3,"Took it one night. Next day low self esteem, extreme lethargy and increased feelings of anger.1Report this post",[],[]
11/17/2024,1.0,"I was negligently put on abilify back in august, in one week my entire body had gone haywire and I’ve never experienced physical discomfort like this. I couldn’t sleep more than an hour per night, I would become so itchy to the point I would scratch until I bled and skin was falling off. My joints became so sore I couldn’t walk, and I had the worst cold sweats to the point I would soak through multiple pairs of clothes and socks despite being freezing cold. Not to mention over a dozen more crazy...  symptoms. I ended up fainting while driving and finally went to an ER. Immediately I was told my heart was incredibly slow and I was shaking uncontrollably. The hospital didn’t do anything and sent me home and my psychiatrist who neglected to tell me anything that could happen while taking this, is almost impossible to reach. My pharmacist was so helpful and told me to stop taking it and a day later all my symptoms have gone away except my heart is still slower than normal. Worst drug ever!  Read More Read Less  1Report this post",[],[]
11/17/2024,1.0,"I was negligently put on abilify back in august, in one week my entire body had gone haywire and I’ve never experienced physical discomfort like this. I couldn’t sleep more than an hour per night, I would become so itchy to the point I would scratch until I bled and skin was falling off. My joints became so sore I couldn’t walk, and I had the worst cold sweats to the point I would soak through multiple pairs of clothes and socks despite being freezing cold. Not to mention over a dozen more crazy...  symptoms. I ended up fainting while driving and finally went to an ER. Immediately I was told my heart was incredibly slow and I was shaking uncontrollably. The hospital didn’t do anything and sent me home and my psychiatrist who neglected to tell me anything that could happen while taking this, is almost impossible to reach. My pharmacist was so helpful and told me to stop taking it and a day later all my symptoms have gone away except my heart is still slower than normal. Worst drug ever!  Read More Read Less  1Report this post",[],[]
